classification,exposure_side,close_trades,total_pnl,avg_pnl,win_rate,avg_roi,gross_volume
Extreme Fear,Long,3122,384645.203121,123.20474155060859,0.7062780269058296,0.027112377506555478,12397683.09
Extreme Fear,Short,7284,354465.045369,48.663515289538715,0.7861065348709501,0.0010754581065898126,44497854.69
Extreme Greed,Long,6496,189065.47774200002,29.104907287869462,0.8596059113300493,0.030754085257304494,19556447.71
Extreme Greed,Short,14357,2526105.832931,175.94942069589746,0.9061781709270739,0.09754898831598034,38405792.71
Fear,Long,9226,1915053.601225,207.57138534847172,0.8621287665293735,0.06667798167694375,75628092.16
Fear,Short,20582,1442101.840417,70.06616657355941,0.8777086774851812,0.016406935377054652,164062222.23
Greed,Long,11336,625257.57636,55.15680807692307,0.6886026817219478,0.014106957415713403,51949163.64
Greed,Short,13840,1524871.696591,110.17859079414741,0.8346820809248555,0.059849705172933296,84974836.69
Neutral,Long,5864,555268.415638,94.69106678683492,0.7766030013642565,0.03804274068666314,20999986.56
Neutral,Short,12295,737652.259912,59.99611711362343,0.8464416429442863,0.012310572087767101,79899495.17
