transition,days,avg_daily_pnl,avg_roi
Fear -> Greed,2,208554.062519,0.026930715577571235
Extreme Fear -> Fear,6,88225.38539016666,0.02948097671586249
Greed -> Fear,4,87692.31284900001,0.07147054551153575
Extreme Fear -> Extreme Fear,7,67166.64666785715,0.024785288767514548
Fear -> Fear,51,38781.83264121569,0.005715357773861856
Fear -> Extreme Fear,7,38420.53168785714,0.00010694881099985265
Greed -> Extreme Greed,22,38373.46247718181,0.06669832545161097
Neutral -> Fear,14,35654.315228785716,0.03864587901106208
Fear -> Neutral,15,34896.23622373333,0.01638850314387628
Extreme Greed -> Greed,22,32484.13495536364,0.044284702295165464
Extreme Greed -> Extreme Greed,86,21755.292281104652,0.053684678476565176
Neutral -> Neutral,27,21563.095766296294,0.01930390545179073
Extreme Fear -> Neutral,1,18082.071276,0.0296796986535469
Greed -> Neutral,12,14099.289602333332,0.03791399602057205
Greed -> Greed,129,9168.755188596899,0.03418256818894967
Start -> Greed,1,-205.43473700000007,-0.003798190763310495
Neutral -> Greed,13,-12630.292745923078,0.01648261882009347
